address,description,projectName,typeOfUse,status,recentUpdate,email,phone,city,planner
321 W Katella Ave,"The Applicant Proposes Adjustment No. 14 To The Disneyland Resort Specific Plan And An Amendment To A Conditional Use Permit To Allow Additional Uses As Part Of The Anaheim Gardenwalk Project. The Proposed Uses Include A Cat Or Dog Café; Personal Services - General; Event Center/Banquet Hall; Beer, Wine, And/Or Craft Spirit Tasting Room And Sales; And Pod Hotel Or Hostel.",[DEV2010-00166J] ANAHEIM GARDENWALK - STC,Other,Withdrawn,12/10/2019,EThien@anaheim.net,(714) 765-4568,Anaheim,Elain Thienprasiddhi
500 W Disney Way,"Amend The Development Agreement Between The City And Westgate Resorts Anaheim, Llc To Extend The Commencement Of Construction Date For Vacation Ownership Resort No. 1 From March 23, 2019 To October 1, 2021.",[DEV2010-0166I] ANAHEIM GARDENWALK - WESTGATE,Other,In Review,2/14/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
8163 E Kaiser Blvd,The Applicant Proposes To Amend An Existing Conditional Use Permit To Add A Preschool To An Existing Church Facility.,[DEV2013-00024C] INFLUENCE CHURCH,Commercial,Approved,7/29/2020,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1700 S Harbor Blvd,A Request To Amend The Development Agreement Between The City Of Anaheim And Good Hope International For The 1700 S. Harbor Boulevard Hotel Project To Extend The Term Of The Agreement By An Additional Five Years.,[DEV2015-00120A] 1700 S. HARBOR HOTEL,Other,Approved,10/2/2019,EThien@anaheim.net,(714) 765-4568,Anaheim,Elain Thienprasiddhi
3111 W Orange Ave,Request To Amend A Conditional Use Permit To Permit A Business School In Conjunction With An Existing Church,[DEV2018-00130A] DAYBREAK UNIVERSITY,Commercial,In Review,9/15/2021,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
405 W Center Street Promenade,"11,232 Sf Ti",[DEV2019-00003] DUDES BREWING CO TI,Commercial,In Review,1/15/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
198 S Mohler Dr,A Variance Request To Exceed The Maximum Floor Are For An Accessory Structure Within A Sf Property,[DEV2019-00004] HORSE BARN,Residential,In Review,1/15/2019,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
175 S Peralta Hills Dr,Demo & Rebuilt Sfd,[DEV2019-00005],Residential,In Review,1/17/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
222 S Harbor Blvd 900,"11,125 Square Foot Ti For Insurance Agency",[DEV2019-00008] ONE BEACON INSURANCE GROUP,Other,In Review,1/29/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
327 N Anaheim Blvd,To Permit The Construction Of New Spray Booth Building In Conjunction With An Existing Automotive Body Repair Business (Fix Auto).,[DEV2019-00009] FIX AUTO,Other,Approved,1/30/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1201 N Harbor Blvd,Conceptual Development Review For A New Conveniance Store (Demolition Of Existing Building And Construction Of A New Building),[DEV2019-00010] PRE2019-00002,Commercial,In Review,2/5/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
200 W Midway Dr,A Conceptual Development Review Application For A New 159 Attached Townhome Development At The Existing Rv Park.,[DEV2019-00013] ANAHEIM RV PARK,Residential,Approved,2/7/2019,TGorham@Anaheim.net,(714) 765-4947,Anaheim,Thomas Gorham
1000 S State College Blvd,"Construct A New 2,301 Sq. Ft. Building And Two Outdoor Play Areas For A Childcare Program At An Existing Church (Anaheim United Methodist Church).",CHILDTIME #209,Commercial,In Review,2/8/2019,iorozco@anaheim.net,(714) 765-4948,Anaheim,Ivan Orozco
2120 E Howell Ave 410,"The Applicant Requests Approval Of (I) A Conditional Use Permit To Allow A Bar With Sales Of Beer And Wine For On And Off-Premises Consumption Within An Existing Industrial Building; And, (Ii) An Associated Determination Of Public Convenience Or Necessity To Permit The Sale Of Beer And Wine For On And Off-Premises Consumption.",[DEV2019-00015] RED BEARD'S TAPROOM,Commercial,Approved,2/11/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
3430 W Lincoln Ave,Interior Tenant Improvement For A New Grocery Store Inside Of A Vacant Tenant Space.,[DEV2019-00016] GROCERY OUTLET,Other,In Review,2/14/2019,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
407 S State College Blvd,"The Applicant Requests Approval Of The Following Land Use Entitlements: (I) A Conditional Use Permit To Construct A New 4,162 Sq. Ft. Express Carwash With Ancillary Vacuums, (Ii) A Variance For Reduced Landscape Setbacks, And (Iii) An Administrative Adjustment For Increased Building Height.",[DEV2019-00017] FAST 5 XPRESS,Other,Approved,2/19/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
1637 S Lamar St,New Residential Construction: 435 Sq Ft For New Studio Accessory Dwelling Unit With (1) Bathroom And (1) Kitchen.,[DEV2019-00021] LAMAR STREET ADU,Residential,In Review,2/27/2019,LOROZCO@ANAHEIM.NET,(714) 765-5381,Anaheim,Lisandro Orozco
2411 W La Palma Ave,To Permit A Clinical Research Facility To Conduct Medically-Supervised Clinical Trials Of Pharmaceutical Products On Paid Study Volunteers With Overnight Stays Within An Existing Office Building.,[DEV2019-00024] ANAHEIM CLINICAL TRIALS,Commercial,Approved,3/18/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
125 E Ball Rd,"Cdr Application To Demolish An Existing Two Story Commercial Building And Construct An 88 Room Hotel And A 2,800 Square Foot Fast Food Drive Thru Restaurant Pad",[DEV2019-00026] PACIFIC RESORT PLAZA,Other,In Review,3/19/2019,Planning@anaheim.net,(714) 765-5139,Anaheim,Anaheim Planning Office
710 E Katella Ave,Request To Amend The Platinum Triangle Master Land Use Plan To Redesignate Properties From The Office District To The Katella District.  No Development Is Proposed With This Request.,[DEV2019-00027] KATELLA DISTRICT AMENDMENT,Other,In Review,3/20/2019,skoehm@anaheim.net,(714) 765-5395,Anaheim,Scott Koehm
